ik,level5,level1_description,level2_description,level3_description,IK14
NXFQHRVNIOXGAQ-YCRREMRBSA-N,J01XE51,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER ANTIBACTERIALS,NXFQHRVNIOXGAQ
OIGNJSKKLXVSLS-VWUMJDOOSA-N,C05AA04,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,OIGNJSKKLXVSLS
OIGNJSKKLXVSLS-VWUMJDOOSA-N,S03BA02,SENSORY ORGANS,OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,CORTICOSTEROIDS,OIGNJSKKLXVSLS
RFHAOTPXVQNOHP-UHFFFAOYSA-N,J02AC01,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,RFHAOTPXVQNOHP
SONNWYBIRXJNDC-VIFPVBQESA-N,R01BA03,RESPIRATORY SYSTEM,NASAL PREPARATIONS,NASAL DECONGESTANTS FOR SYSTEMIC USE,SONNWYBIRXJNDC
SONNWYBIRXJNDC-VIFPVBQESA-N,S01FB01,SENSORY ORGANS,OPHTHALMOLOGICALS,MYDRIATICS AND CYCLOPLEGICS,SONNWYBIRXJNDC
VWUXBMIQPBEWFH-WCCTWKNTSA-N,L02BA03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,VWUXBMIQPBEWFH
JQXXHWHPUNPDRT-WLSIYKJHSA-N,J04AB02,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,JQXXHWHPUNPDRT
CDAISMWEOUEBRE-GPIVLXJGSA-N,A11HA07,ALIMENTARY TRACT AND METABOLISM,VITAMINS,OTHER PLAIN VITAMIN PREPARATIONS,CDAISMWEOUEBRE
KYYIDSXMWOZKMP-UHFFFAOYSA-N,N06AX23,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,KYYIDSXMWOZKMP
FBPFZTCFMRRESA-JGWLITMVSA-N,A06AD18,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,FBPFZTCFMRRESA
JYGXADMDTFJGBT-VWUMJDOOSA-N,A01AC03,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,JYGXADMDTFJGBT
JYGXADMDTFJGBT-VWUMJDOOSA-N,R01AD60,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,JYGXADMDTFJGBT
DCOPUUMXTXDBNB-UHFFFAOYSA-N,M01AB05,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",DCOPUUMXTXDBNB
UREBDLICKHMUKA-DVTGEIKXSA-N,R03BA04,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",UREBDLICKHMUKA
UREBDLICKHMUKA-DVTGEIKXSA-N,S01BA06,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,UREBDLICKHMUKA
PSIFNNKUMBGKDQ-UHFFFAOYSA-N,C09CA01,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",PSIFNNKUMBGKDQ
FELGMEQIXOGIFQ-UHFFFAOYSA-N,A04AA01,ALIMENTARY TRACT AND METABOLISM,ANTIEMETICS AND ANTINAUSEANTS,ANTIEMETICS AND ANTINAUSEANTS,FELGMEQIXOGIFQ
VSNHCAURESNICA-UHFFFAOYSA-N,L01XX05,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,VSNHCAURESNICA
PSGAAPLEWMOORI-PEINSRQWSA-N,L02AB02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,HORMONES AND RELATED AGENTS,PSGAAPLEWMOORI
GKTWGGQPFAXNFI-HNNXBMFYSA-N,B01AC04,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,GKTWGGQPFAXNFI
MAEIEVLCKWDQJH-UHFFFAOYSA-N,C03CA02,CARDIOVASCULAR SYSTEM,DIURETICS,HIGH-CEILING DIURETICS,MAEIEVLCKWDQJH
KWGRBVOPPLSCSI-WPRPVWTQSA-N,A08AA56,ALIMENTARY TRACT AND METABOLISM,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",KWGRBVOPPLSCSI
KWGRBVOPPLSCSI-WPRPVWTQSA-N,R01AA03,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,KWGRBVOPPLSCSI
UXOWGYHJODZGMF-QORCZRPOSA-N,C09XA02,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,UXOWGYHJODZGMF
BQJCRHHNABKAKU-KBQPJGBKSA-N,A07DA52,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",ANTIPROPULSIVES,BQJCRHHNABKAKU
XPIJWUTXQAGSLK-UHFFFAOYSA-N,D06AX14,DERMATOLOGICALS,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,ANTIBIOTICS FOR TOPICAL USE,XPIJWUTXQAGSLK
RNOAOAWBMHREKO-QFIPXVFZSA-N,L01EL03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,RNOAOAWBMHREKO
RLCLASQCAPXVLM-NSHDSACASA-N,C01EB24,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,OTHER CARDIAC PREPARATIONS,RLCLASQCAPXVLM
HWGQMRYQVZSGDQ-HZPDHXFCSA-N,L01XK04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,HWGQMRYQVZSGDQ
METKIMKYRPQLGS-LBPRGKRZSA-N,C07AB11,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,METKIMKYRPQLGS
DDOOFTLHJSMHLN-ZQHRPCGSSA-N,N02CD04,NERVOUS SYSTEM,ANALGESICS,ANTIMIGRAINE PREPARATIONS,DDOOFTLHJSMHLN
JWNPDZNEKVCWMY-VQHVLOKHSA-N,L01EH02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,JWNPDZNEKVCWMY
UZWDCWONPYILKI-UHFFFAOYSA-N,L01EF03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,UZWDCWONPYILKI
ACWZRVQXLIRSDF-UHFFFAOYSA-N,L01EE03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,ACWZRVQXLIRSDF
HOIIHACBCFLJET-SFTDATJTSA-N,N05AD10,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,HOIIHACBCFLJET
HDKWFBCPLKNOCK-SFHVURJKSA-N,S01AX25,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,HDKWFBCPLKNOCK
LOUPRKONTZGTKE-WZBLMQSHSA-N,P01BC01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,ANTIMALARIALS,LOUPRKONTZGTKE
URKOMYMAXPYINW-UHFFFAOYSA-N,N05AH04,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,URKOMYMAXPYINW
RDOIQAHITMMDAJ-UHFFFAOYSA-N,A07DA03,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",ANTIPROPULSIVES,RDOIQAHITMMDAJ
YOSHYTLCDANDAN-UHFFFAOYSA-N,C09CA04,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",YOSHYTLCDANDAN
YKPUWZUDDOIDPM-SOFGYWHQSA-N,M02AB01,MUSCULO-SKELETAL SYSTEM,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,YKPUWZUDDOIDPM
RAPZEAPATHNIPO-UHFFFAOYSA-N,N05AX08,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,RAPZEAPATHNIPO
PGTVWKLGGCQMBR-FLBATMFCSA-N,N03AX27,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,PGTVWKLGGCQMBR
LKJPYSCBVHEWIU-UHFFFAOYSA-N,L02BB03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,LKJPYSCBVHEWIU
WOSKHXYHFSIKNG-UHFFFAOYSA-N,L01EX08,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,WOSKHXYHFSIKNG
NPUKDXXFDDZOKR-LLVKDONJSA-N,N01AX07,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",NPUKDXXFDDZOKR
JWJOTENAMICLJG-QWBYCMEYSA-N,G04CB02,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,JWJOTENAMICLJG
WTDRDQBEARUVNC-LURJTMIESA-N,N04BA01,NERVOUS SYSTEM,ANTI-PARKINSON DRUGS,DOPAMINERGIC AGENTS,WTDRDQBEARUVNC
PYZRQGJRPPTADH-UHFFFAOYSA-N,N03AX09,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,PYZRQGJRPPTADH
FYPMFJGVHOHGLL-UHFFFAOYSA-N,C10AX02,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",FYPMFJGVHOHGLL
HMJIYCCIJYRONP-UHFFFAOYSA-N,C08CA03,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,HMJIYCCIJYRONP
SHGAZHPCJJPHSC-YCNIQYBTSA-N,D10AD51,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,SHGAZHPCJJPHSC
SHGAZHPCJJPHSC-YCNIQYBTSA-N,L01XF01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,SHGAZHPCJJPHSC
NCDNCNXCDXHOMX-XGKFQTDJSA-N,J05AE03,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,NCDNCNXCDXHOMX
RZVAJINKPMORJF-UHFFFAOYSA-N,N02BE01,NERVOUS SYSTEM,ANALGESICS,OTHER ANALGESICS AND ANTIPYRETICS,RZVAJINKPMORJF
VOVIALXJUBGFJZ-KWVAZRHASA-N,D07AC09,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN",VOVIALXJUBGFJZ
DMJNNHOOLUXYBV-PQTSNVLCSA-N,J01DH02,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,DMJNNHOOLUXYBV
MJIHNNLFOKEZEW-UHFFFAOYSA-N,A02BC53,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),MJIHNNLFOKEZEW
BMQGVNUXMIRLCK-OAGWZNDDSA-N,L01CD04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,BMQGVNUXMIRLCK
GGCSSNBKKAUURC-UHFFFAOYSA-N,N01AH03,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",GGCSSNBKKAUURC
POGQSBRIGCQNEG-UHFFFAOYSA-N,N03AF03,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,POGQSBRIGCQNEG
QIGBRXMKCJKVMJ-UHFFFAOYSA-N,D11AX11,DERMATOLOGICALS,OTHER DERMATOLOGICAL PREPARATIONS,OTHER DERMATOLOGICAL PREPARATIONS,QIGBRXMKCJKVMJ
XRWSZZJLZRKHHD-WVWIJVSJSA-N,J05AP06,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,XRWSZZJLZRKHHD
NHTGHBARYWONDQ-JTQLQIEISA-N,C02KB01,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,OTHER ANTIHYPERTENSIVES,NHTGHBARYWONDQ
VAOCPAMSLUNLGC-UHFFFAOYSA-N,A01AB17,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,VAOCPAMSLUNLGC
FBPFZTCFMRRESA-KVTDHHQDSA-N,A06AD16,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,FBPFZTCFMRRESA
YIBOMRUWOWDFLG-ONEGZZNKSA-N,J05AG05,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,YIBOMRUWOWDFLG
HEFNNWSXXWATRW-UHFFFAOYSA-N,C01EB16,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,OTHER CARDIAC PREPARATIONS,HEFNNWSXXWATRW
HEFNNWSXXWATRW-UHFFFAOYSA-N,M01AE01,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",HEFNNWSXXWATRW
LZCDAPDGXCYOEH-UHFFFAOYSA-N,D10AD53,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,LZCDAPDGXCYOEH
WMWTYOKRWGGJOA-CENSZEJFSA-N,R03BA05,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",WMWTYOKRWGGJOA
PJMPHNIQZUBGLI-UHFFFAOYSA-N,N01AH51,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",PJMPHNIQZUBGLI
LOUPRKONTZGTKE-LHHVKLHASA-N,C01BA71,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRHYTHMICS, CLASS I AND III",LOUPRKONTZGTKE
CGIGDMFJXJATDK-UHFFFAOYSA-N,M01AB51,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",CGIGDMFJXJATDK
CGIGDMFJXJATDK-UHFFFAOYSA-N,S01BC01,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,CGIGDMFJXJATDK
PQLXHQMOHUQAKB-UHFFFAOYSA-N,P01CX04,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,PQLXHQMOHUQAKB
OELFLUMRDSZNSF-BRWVUGGUSA-N,A10BX03,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",OELFLUMRDSZNSF
SHGAZHPCJJPHSC-ZVCIMWCZSA-N,L01XF02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,SHGAZHPCJJPHSC
WINHZLLDWRZWRT-ATVHPVEESA-N,L01EX01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,WINHZLLDWRZWRT
GFNANZIMVAIWHM-OBYCQNJPSA-N,C05AA12,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,GFNANZIMVAIWHM
GFNANZIMVAIWHM-OBYCQNJPSA-N,D07AB09,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN",GFNANZIMVAIWHM
OGSBUKJUDHAQEA-WMCAAGNKSA-N,L01BA05,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ANTIMETABOLITES,OGSBUKJUDHAQEA
VPPJLAIAVCUEMN-GFCCVEGCSA-N,N03AX18,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,VPPJLAIAVCUEMN
SHGAZHPCJJPHSC-XFYACQKRSA-N,D10AD04,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,SHGAZHPCJJPHSC
KSMAGQUYOIHWFS-UHFFFAOYSA-N,N07BC04,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,DRUGS USED IN ADDICTIVE DISORDERS,KSMAGQUYOIHWFS
ZBBHBTPTTSWHBA-UHFFFAOYSA-N,C08CA04,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,ZBBHBTPTTSWHBA
PWWVAXIEGOYWEE-UHFFFAOYSA-N,D04AA10,DERMATOLOGICALS,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",PWWVAXIEGOYWEE
ZTVQQQVZCWLTDF-UHFFFAOYSA-N,N01AH06,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",ZTVQQQVZCWLTDF
IYIKLHRQXLHMJQ-UHFFFAOYSA-N,C01BD01,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRHYTHMICS, CLASS I AND III",IYIKLHRQXLHMJQ
IDBPHNDTYPBSNI-UHFFFAOYSA-N,N01AH02,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",IDBPHNDTYPBSNI
INDBQLZJXZLFIT-UHFFFAOYSA-N,P01BA03,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,ANTIMALARIALS,INDBQLZJXZLFIT
XUKUURHRXDUEBC-KAYWLYCHSA-N,C10AA05,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",XUKUURHRXDUEBC
JBIMVDZLSHOPLA-LSCVHKIXSA-N,R01AC08,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,JBIMVDZLSHOPLA
XSDQTOBWRPYKKA-UHFFFAOYSA-N,C03DB01,CARDIOVASCULAR SYSTEM,DIURETICS,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,XSDQTOBWRPYKKA
RFKMCNOHBTXSMU-UHFFFAOYSA-N,N02BG09,NERVOUS SYSTEM,ANALGESICS,OTHER ANALGESICS AND ANTIPYRETICS,RFKMCNOHBTXSMU
INWLQCZOYSRPNW-UHFFFAOYSA-N,N01BB03,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, LOCAL",INWLQCZOYSRPNW
INWLQCZOYSRPNW-UHFFFAOYSA-N,N01BB53,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, LOCAL",INWLQCZOYSRPNW
JQSHBVHOMNKWFT-DTORHVGOSA-N,N07BA03,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,DRUGS USED IN ADDICTIVE DISORDERS,JQSHBVHOMNKWFT
JQSHBVHOMNKWFT-DTORHVGOSA-N,S01XA28,SENSORY ORGANS,OPHTHALMOLOGICALS,OTHER OPHTHALMOLOGICALS,JQSHBVHOMNKWFT
CYXKNKQEMFBLER-UHFFFAOYSA-N,C08EX02,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,CYXKNKQEMFBLER
NNJVILVZKWQKPM-UHFFFAOYSA-N,C01BB01,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRHYTHMICS, CLASS I AND III",NNJVILVZKWQKPM
NNJVILVZKWQKPM-UHFFFAOYSA-N,N01BB52,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, LOCAL",NNJVILVZKWQKPM
UCTWMZQNUQWSLP-VIFPVBQESA-N,C01CA24,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,UCTWMZQNUQWSLP
HCYAFALTSJYZDH-UHFFFAOYSA-N,N06AA01,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,HCYAFALTSJYZDH
STECJAGHUSJQJN-FWXGHANASA-N,A04AD01,ALIMENTARY TRACT AND METABOLISM,ANTIEMETICS AND ANTINAUSEANTS,ANTIEMETICS AND ANTINAUSEANTS,STECJAGHUSJQJN
OIGNJSKKLXVSLS-VWUMJDOOSA-N,A07EA01,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFLAMMATORY AGENTS,OIGNJSKKLXVSLS
OIGNJSKKLXVSLS-VWUMJDOOSA-N,H02AB06,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OIGNJSKKLXVSLS
WIGIZIANZCJQQY-RUCARUNLSA-N,A10BB12,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",WIGIZIANZCJQQY
QJFSABGVXDWMIW-UHFFFAOYSA-N,C09CA09,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",QJFSABGVXDWMIW
SYTBZMRGLBWNTM-JTQLQIEISA-N,M02AA29,MUSCULO-SKELETAL SYSTEM,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,SYTBZMRGLBWNTM
BPEGJWRSRHCHSN-UHFFFAOYSA-N,L01AX03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ALKYLATING AGENTS,BPEGJWRSRHCHSN
RFHAOTPXVQNOHP-UHFFFAOYSA-N,D01AC15,DERMATOLOGICALS,ANTIFUNGALS FOR DERMATOLOGICAL USE,ANTIFUNGALS FOR TOPICAL USE,RFHAOTPXVQNOHP
ZQPDJCIXJHUERQ-QWRGUYRKSA-N,L01EM05,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,ZQPDJCIXJHUERQ
SONNWYBIRXJNDC-VIFPVBQESA-N,S01GA05,SENSORY ORGANS,OPHTHALMOLOGICALS,DECONGESTANTS AND ANTIALLERGICS,SONNWYBIRXJNDC
UTNUDOFZCWSZMS-YFHOEESVSA-N,L04AK02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,UTNUDOFZCWSZMS
LUKZNWIVRBCLON-GXOBDPJESA-N,R03BA08,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",LUKZNWIVRBCLON
PMRYVIKBURPHAH-UHFFFAOYSA-N,H03BB52,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",THYROID THERAPY,ANTITHYROID PREPARATIONS,PMRYVIKBURPHAH
QYSPLQLAKJAUJT-UHFFFAOYSA-N,M02AA07,MUSCULO-SKELETAL SYSTEM,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,QYSPLQLAKJAUJT
QYSPLQLAKJAUJT-UHFFFAOYSA-N,S01BC06,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,QYSPLQLAKJAUJT
JZUFKLXOESDKRF-UHFFFAOYSA-N,C03AX01,CARDIOVASCULAR SYSTEM,DIURETICS,"LOW-CEILING DIURETICS, THIAZIDES",JZUFKLXOESDKRF
LEBVLXFERQHONN-INIZCTEOSA-N,N01BB10,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, LOCAL",LEBVLXFERQHONN
WXCXUHSOUPDCQV-UHFFFAOYSA-N,L02BB04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,WXCXUHSOUPDCQV
FBPFZTCFMRRESA-JGWLITMVSA-N,A06AG07,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,FBPFZTCFMRRESA
WAEXFXRVDQXREF-UHFFFAOYSA-N,L01XH01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,WAEXFXRVDQXREF
