ik14,target_gene,action_type,mechanism_of_action
WDDPHFBMKLOVOX,POLD1,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
WDDPHFBMKLOVOX,POLD2,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
WDDPHFBMKLOVOX,POLE,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
WDDPHFBMKLOVOX,POLA2,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
WDDPHFBMKLOVOX,PRIM1,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
WDDPHFBMKLOVOX,PRIM2,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
WDDPHFBMKLOVOX,POLE2,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
WDDPHFBMKLOVOX,POLE3,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
LTMHDMANZUZIPE,ATP1A1,INHIBITOR,Sodium/potassium-transporting ATPase inhibitor
LTMHDMANZUZIPE,ATP1B2,INHIBITOR,Sodium/potassium-transporting ATPase inhibitor
LTMHDMANZUZIPE,ATP1B1,INHIBITOR,Sodium/potassium-transporting ATPase inhibitor
LTMHDMANZUZIPE,ATP1A2,INHIBITOR,Sodium/potassium-transporting ATPase inhibitor
LTMHDMANZUZIPE,ATP1B3,INHIBITOR,Sodium/potassium-transporting ATPase inhibitor
LTMHDMANZUZIPE,ATP1A3,INHIBITOR,Sodium/potassium-transporting ATPase inhibitor
LTMHDMANZUZIPE,ATP1A4,INHIBITOR,Sodium/potassium-transporting ATPase inhibitor
LTMHDMANZUZIPE,FXYD2,INHIBITOR,Sodium/potassium-transporting ATPase inhibitor
GAGWJHPBXLXJQN,TYMS,INHIBITOR,Thymidylate synthase inhibitor
KTEIFNKAUNYNJU,MET,INHIBITOR,Hepatocyte growth factor receptor inhibitor
KTEIFNKAUNYNJU,ALK,INHIBITOR,ALK tyrosine kinase receptor inhibitor
KTEIFNKAUNYNJU,EML4,INHIBITOR,EML4-ALK inhibitor
KTEIFNKAUNYNJU,NPM1,INHIBITOR,NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor) inhibitor
KTEIFNKAUNYNJU,ROS1,INHIBITOR,Proto-oncogene tyrosine-protein kinase ROS inhibitor
KTEIFNKAUNYNJU,MST1R,INHIBITOR,Macrophage-stimulating protein receptor inhibitor
MSYKRHVOOPPJKU,SV2A,MODULATOR,Synaptic vesicle glycoprotein 2A modulator
JQSHBVHOMNKWFT,CHRNB2,PARTIAL AGONIST,Neuronal acetylcholine receptor; alpha4/beta2 partial agonist
JQSHBVHOMNKWFT,CHRNA4,PARTIAL AGONIST,Neuronal acetylcholine receptor; alpha4/beta2 partial agonist
ULDXWLCXEDXJGE,AKT2,INHIBITOR,Serine/threonine-protein kinase AKT inhibitor
ULDXWLCXEDXJGE,AKT3,INHIBITOR,Serine/threonine-protein kinase AKT inhibitor
ULDXWLCXEDXJGE,AKT1,INHIBITOR,Serine/threonine-protein kinase AKT inhibitor
ZVHNDZWQTBEVRY,JAK1,INHIBITOR,Tyrosine-protein kinase JAK1 inhibitor
ZVHNDZWQTBEVRY,JAK2,INHIBITOR,Tyrosine-protein kinase JAK2 inhibitor
PKCDDUHJAFVJJB,IGF1R,INHIBITOR,Insulin-like growth factor I receptor inhibitor
PKCDDUHJAFVJJB,INSR,INHIBITOR,Insulin receptor inhibitor
PCHKPVIQAHNQLW,PARP2,INHIBITOR,Poly [ADP-ribose] polymerase 2 inhibitor
PCHKPVIQAHNQLW,PARP1,INHIBITOR,Poly [ADP-ribose] polymerase-1 inhibitor
MWUFVYLAWAXDHQ,MAP2K1,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor
MWUFVYLAWAXDHQ,MAP3K1,INHIBITOR,Mitogen-activated protein kinase kinase kinase 1 inhibitor
JUKPWJGBANNWMW,NR3C2,ANTAGONIST,Mineralocorticoid receptor antagonist
LPAUOXUZGSBGDU,S1PR1,AGONIST,Sphingosine 1-phosphate receptor Edg-1 agonist
JYTNQNCOQXFQPK,HCRTR2,ANTAGONIST,Orexin receptor antagonist
JYTNQNCOQXFQPK,HCRTR1,ANTAGONIST,Orexin receptor antagonist
WXCXUHSOUPDCQV,AR,ANTAGONIST,Androgen Receptor antagonist
HMABYWSNWIZPAG,PARP1,INHIBITOR,"PARP 1, 2 and 3 inhibitor"
HMABYWSNWIZPAG,PARP3,INHIBITOR,"PARP 1, 2 and 3 inhibitor"
HMABYWSNWIZPAG,PARP2,INHIBITOR,"PARP 1, 2 and 3 inhibitor"
BFYIZQONLCFLEV,CYP19A1,INHIBITOR,Cytochrome P450 19A1 inhibitor
KUVIULQEHSCUHY,NR3C1,AGONIST,Glucocorticoid receptor agonist
BPKAHTKRCLCHEA,VDR,AGONIST,Vitamin D receptor agonist
DFEYYRMXOJXZRJ,GLRA1,POSITIVE MODULATOR,Glycine receptor (alpha-1/beta) positive modulator
DFEYYRMXOJXZRJ,GLRB,POSITIVE MODULATOR,Glycine receptor (alpha-1/beta) positive modulator
DFEYYRMXOJXZRJ,GABRA1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DFEYYRMXOJXZRJ,GABRB2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DFEYYRMXOJXZRJ,GABRG2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DFEYYRMXOJXZRJ,GABRB3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DFEYYRMXOJXZRJ,GABRA4,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DFEYYRMXOJXZRJ,GABRG3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DFEYYRMXOJXZRJ,GABRQ,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DFEYYRMXOJXZRJ,GABRA3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DFEYYRMXOJXZRJ,GABRP,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DFEYYRMXOJXZRJ,GABRD,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DFEYYRMXOJXZRJ,GABRG1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DFEYYRMXOJXZRJ,GABRB1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DFEYYRMXOJXZRJ,GABRE,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DFEYYRMXOJXZRJ,GABRA2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DFEYYRMXOJXZRJ,GABRA5,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DFEYYRMXOJXZRJ,GABRA6,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DFEYYRMXOJXZRJ,KCNK10,OPENER,Potassium channel subfamily K member 10 opener
DFEYYRMXOJXZRJ,KCNK18,OPENER,Potassium channel subfamily K member 18 opener
DFEYYRMXOJXZRJ,KCNK3,OPENER,Potassium channel subfamily K member 3 opener
DFEYYRMXOJXZRJ,KCNK9,OPENER,Potassium channel subfamily K member 9 opener
DFEYYRMXOJXZRJ,KCNK2,OPENER,Potassium channel subfamily K member 2 opener
DPYMFVXJLLWWEU,GLRA1,POSITIVE MODULATOR,Glycine receptor (alpha-1/beta) positive modulator
DPYMFVXJLLWWEU,GLRB,POSITIVE MODULATOR,Glycine receptor (alpha-1/beta) positive modulator
DPYMFVXJLLWWEU,GABRA1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DPYMFVXJLLWWEU,GABRB2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DPYMFVXJLLWWEU,GABRG2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DPYMFVXJLLWWEU,GABRB3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DPYMFVXJLLWWEU,GABRA4,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DPYMFVXJLLWWEU,GABRG3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DPYMFVXJLLWWEU,GABRQ,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DPYMFVXJLLWWEU,GABRA3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DPYMFVXJLLWWEU,GABRP,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DPYMFVXJLLWWEU,GABRD,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DPYMFVXJLLWWEU,GABRG1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DPYMFVXJLLWWEU,GABRB1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DPYMFVXJLLWWEU,GABRE,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DPYMFVXJLLWWEU,GABRA2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DPYMFVXJLLWWEU,GABRA5,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DPYMFVXJLLWWEU,GABRA6,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DPYMFVXJLLWWEU,KCNK10,OPENER,Potassium channel subfamily K member 10 opener
DPYMFVXJLLWWEU,KCNK18,OPENER,Potassium channel subfamily K member 18 opener
DPYMFVXJLLWWEU,KCNK3,OPENER,Potassium channel subfamily K member 3 opener
DPYMFVXJLLWWEU,KCNK9,OPENER,Potassium channel subfamily K member 9 opener
DPYMFVXJLLWWEU,KCNK2,OPENER,Potassium channel subfamily K member 2 opener
MKPLKVHSHYCHOC,PTGFR,AGONIST,Prostanoid FP receptor agonist
JGMOKGBVKVMRFX,PGR,AGONIST,Progesterone receptor agonist
NHTGHBARYWONDQ,TH,INHIBITOR,Tyrosine 3-hydroxylase inhibitor
DMKSVUSAATWOCU,NR3C1,AGONIST,Glucocorticoid receptor agonist
TZIZWYVVGLXXFV,NR3C1,AGONIST,Glucocorticoid receptor agonist
JWJOTENAMICLJG,SRD5A1,INHIBITOR,Steroid 5-alpha-reductase inhibitor
JWJOTENAMICLJG,SRD5A2,INHIBITOR,Steroid 5-alpha-reductase inhibitor
JWJOTENAMICLJG,SRD5A3,INHIBITOR,Steroid 5-alpha-reductase inhibitor
GUTXTARXLVFHDK,HTR2A,ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist
GUTXTARXLVFHDK,DRD2,INVERSE AGONIST,D2-like dopamine receptor inverse agonist
GUTXTARXLVFHDK,DRD3,INVERSE AGONIST,D2-like dopamine receptor inverse agonist
GUTXTARXLVFHDK,DRD4,INVERSE AGONIST,D2-like dopamine receptor inverse agonist
KORNTPPJEAJQIU,DRD2,AGONIST,Dopamine D2 receptor agonist
GNXFOGHNGIVQEH,CA1,INHIBITOR,Carbonic anhydrase I inhibitor
XAUDJQYHKZQPEU,DNMT3A,INHIBITOR,DNA (cytosine-5)-methyltransferase 3A inhibitor
XAUDJQYHKZQPEU,DNMT1,INHIBITOR,DNA (cytosine-5)-methyltransferase 1 inhibitor
WGFOBBZOWHGYQH,CLCN2,OPENER,Chloride channel protein 2 opener
IMONTRJLAWHYGT,PGR,AGONIST,Progesterone receptor agonist
OGSBUKJUDHAQEA,DHFR,INHIBITOR,Dihydrofolate reductase inhibitor
BMQGVNUXMIRLCK,TUBB4B,INHIBITOR,Tubulin inhibitor
BMQGVNUXMIRLCK,TUBB1,INHIBITOR,Tubulin inhibitor
BMQGVNUXMIRLCK,TUBA3C,INHIBITOR,Tubulin inhibitor
BMQGVNUXMIRLCK,TUBA4A,INHIBITOR,Tubulin inhibitor
BMQGVNUXMIRLCK,TUBB3,INHIBITOR,Tubulin inhibitor
BMQGVNUXMIRLCK,TUBA1A,INHIBITOR,Tubulin inhibitor
BMQGVNUXMIRLCK,TUBB4A,INHIBITOR,Tubulin inhibitor
BMQGVNUXMIRLCK,TUBB8,INHIBITOR,Tubulin inhibitor
BMQGVNUXMIRLCK,TUBB,INHIBITOR,Tubulin inhibitor
BMQGVNUXMIRLCK,TUBA1B,INHIBITOR,Tubulin inhibitor
BMQGVNUXMIRLCK,TUBA1C,INHIBITOR,Tubulin inhibitor
BMQGVNUXMIRLCK,TUBA3E,INHIBITOR,Tubulin inhibitor
BMQGVNUXMIRLCK,TUBB2A,INHIBITOR,Tubulin inhibitor
BMQGVNUXMIRLCK,TUBB2B,INHIBITOR,Tubulin inhibitor
BMQGVNUXMIRLCK,TUBB6,INHIBITOR,Tubulin inhibitor
POGQSBRIGCQNEG,SCN1A,BLOCKER,Sodium channel alpha subunit blocker
POGQSBRIGCQNEG,SCN5A,BLOCKER,Sodium channel alpha subunit blocker
POGQSBRIGCQNEG,SCN4A,BLOCKER,Sodium channel alpha subunit blocker
POGQSBRIGCQNEG,SCN7A,BLOCKER,Sodium channel alpha subunit blocker
POGQSBRIGCQNEG,SCN2A,BLOCKER,Sodium channel alpha subunit blocker
POGQSBRIGCQNEG,SCN9A,BLOCKER,Sodium channel alpha subunit blocker
POGQSBRIGCQNEG,SCN3A,BLOCKER,Sodium channel alpha subunit blocker
POGQSBRIGCQNEG,SCN11A,BLOCKER,Sodium channel alpha subunit blocker
POGQSBRIGCQNEG,SCN8A,BLOCKER,Sodium channel alpha subunit blocker
POGQSBRIGCQNEG,SCN10A,BLOCKER,Sodium channel alpha subunit blocker
LCQLHJZYVOQKHU,CPS1,POSITIVE ALLOSTERIC MODULATOR,"Carbamoyl-phosphate synthase [ammonia], mitochondrial positive allosteric modulator"
FBHSPRKOSMHSIF,NR3C1,AGONIST,Glucocorticoid receptor agonist
TZRHLKRLEZJVIJ,PTGS2,INHIBITOR,Cyclooxygenase-2 inhibitor
HEAUOKZIVMZVQL,GNRHR,ANTAGONIST,Gonadotropin-releasing hormone receptor antagonist
PRMWGUBFXWROHD,GRIA4,ANTAGONIST,Glutamate receptor ionotropic AMPA antagonist
PRMWGUBFXWROHD,GRIA3,ANTAGONIST,Glutamate receptor ionotropic AMPA antagonist
PRMWGUBFXWROHD,GRIA2,ANTAGONIST,Glutamate receptor ionotropic AMPA antagonist
PRMWGUBFXWROHD,GRIA1,ANTAGONIST,Glutamate receptor ionotropic AMPA antagonist
GPXBXXGIAQBQNI,BRAF,INHIBITOR,Serine/threonine-protein kinase B-raf inhibitor
KPBZROQVTHLCDU,CACNA1C,BLOCKER,Voltage-gated L-type calcium channel blocker
KPBZROQVTHLCDU,CACNA1S,BLOCKER,Voltage-gated L-type calcium channel blocker
KPBZROQVTHLCDU,CACNA1D,BLOCKER,Voltage-gated L-type calcium channel blocker
KPBZROQVTHLCDU,CACNA1F,BLOCKER,Voltage-gated L-type calcium channel blocker
FWYSMLBETOMXAG,TRM1,INHIBITOR,DNA terminase inhibitor
FWYSMLBETOMXAG,TRM2,INHIBITOR,DNA terminase inhibitor
FWYSMLBETOMXAG,TRM3,INHIBITOR,DNA terminase inhibitor
ZVGNESXIJDCBKN,rpoA,INHIBITOR,DNA-directed RNA polymerase inhibitor
ZVGNESXIJDCBKN,rpoB,INHIBITOR,DNA-directed RNA polymerase inhibitor
ZVGNESXIJDCBKN,rpoC,INHIBITOR,DNA-directed RNA polymerase inhibitor
ZVGNESXIJDCBKN,rpoZ,INHIBITOR,DNA-directed RNA polymerase inhibitor
TTZHDVOVKQGIBA,NS5b,INHIBITOR,RNA-directed RNA polymerase inhibitor
VKHAHZOOUSRJNA,NR3C1,ANTAGONIST,Glucocorticoid receptor antagonist
VKHAHZOOUSRJNA,PGR,ANTAGONIST,Progesterone receptor antagonist
JOOXLOJCABQBSG,FLT3,INHIBITOR,Tyrosine-protein kinase receptor FLT3 inhibitor
JOOXLOJCABQBSG,JAK2,INHIBITOR,Tyrosine-protein kinase JAK2 inhibitor
SPMVMDHWKHCIDT,FLT1,INHIBITOR,Vascular endothelial growth factor receptor inhibitor
SPMVMDHWKHCIDT,FLT4,INHIBITOR,Vascular endothelial growth factor receptor inhibitor
SPMVMDHWKHCIDT,KDR,INHIBITOR,Vascular endothelial growth factor receptor inhibitor
PLBHSZGDDKCEHR,NR3C1,AGONIST,Glucocorticoid receptor agonist
PGTVWKLGGCQMBR,GABRA1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PGTVWKLGGCQMBR,GABRB2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PGTVWKLGGCQMBR,GABRG2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PGTVWKLGGCQMBR,GABRB3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PGTVWKLGGCQMBR,GABRA4,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PGTVWKLGGCQMBR,GABRG3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PGTVWKLGGCQMBR,GABRQ,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PGTVWKLGGCQMBR,GABRA3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PGTVWKLGGCQMBR,GABRP,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PGTVWKLGGCQMBR,GABRD,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PGTVWKLGGCQMBR,GABRG1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PGTVWKLGGCQMBR,GABRB1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PGTVWKLGGCQMBR,GABRE,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PGTVWKLGGCQMBR,GABRA2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PGTVWKLGGCQMBR,GABRA5,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
PGTVWKLGGCQMBR,GABRA6,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
NNYBQONXHNTVIJ,RXRA,MODULATOR,Retinoid X receptor alpha modulator
JNGVJMBLXIUVRD,AR,MODULATOR,Androgen Receptor modulator
WMDSZGFJQKSLLH,ADRB1,ANTAGONIST,Beta-1 adrenergic receptor antagonist
WPTTVJLTNAWYAO,PPARG,ANTAGONIST,Peroxisome proliferator-activated receptor gamma antagonist
WPTTVJLTNAWYAO,IKBKB,INHIBITOR,Inhibitor of nuclear factor kappa B kinase beta subunit inhibitor
WPTTVJLTNAWYAO,NFE2L2,INHIBITOR,Keap1/Nrf2 inhibitor
WPTTVJLTNAWYAO,KEAP1,INHIBITOR,Keap1/Nrf2 inhibitor
MCIACXAZCBVDEE,SLC5A2,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor
KSGCNXAZROJSNW,UTRN,MODULATOR,Utrophin modulator
LCDDAGSJHKEABN,DPP4,INHIBITOR,Dipeptidyl peptidase IV inhibitor
BZCALJIHZVNMGJ,FFAR1,POSITIVE ALLOSTERIC MODULATOR,Free fatty acid receptor 1 positive allosteric modulator
XYFPWWZEPKGCCK,BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor
JOGKUKXHTYWRGZ,MTOR,INHIBITOR,Serine/threonine-protein kinase mTOR inhibitor
JOGKUKXHTYWRGZ,PIK3R1,INHIBITOR,PI3-kinase class I inhibitor
JOGKUKXHTYWRGZ,PIK3CB,INHIBITOR,PI3-kinase class I inhibitor
JOGKUKXHTYWRGZ,PIK3CG,INHIBITOR,PI3-kinase class I inhibitor
JOGKUKXHTYWRGZ,PIK3CA,INHIBITOR,PI3-kinase class I inhibitor
JOGKUKXHTYWRGZ,PIK3R2,INHIBITOR,PI3-kinase class I inhibitor
JOGKUKXHTYWRGZ,PIK3CD,INHIBITOR,PI3-kinase class I inhibitor
JOGKUKXHTYWRGZ,PIK3R5,INHIBITOR,PI3-kinase class I inhibitor
JOGKUKXHTYWRGZ,PIK3R3,INHIBITOR,PI3-kinase class I inhibitor
ISBHYKVAFKTATD,HRH4,ANTAGONIST,Histamine H4 receptor antagonist
ZHPMYDSXGRRERG,OPRK1,ANTAGONIST,Kappa opioid receptor antagonist
LDXYBEHACFJIEL,DPP4,INHIBITOR,Dipeptidyl peptidase IV inhibitor
FNHKPVJBJVTLMP,ABL1,INHIBITOR,Tyrosine-protein kinase ABL inhibitor
FNHKPVJBJVTLMP,RAF1,INHIBITOR,Serine/threonine-protein kinase RAF inhibitor
FNHKPVJBJVTLMP,KIT,INHIBITOR,Stem cell growth factor receptor inhibitor
FNHKPVJBJVTLMP,FGFR1,INHIBITOR,Fibroblast growth factor receptor 1 inhibitor
FNHKPVJBJVTLMP,MAPK11,INHIBITOR,MAP kinase p38 beta inhibitor
FNHKPVJBJVTLMP,FGFR2,INHIBITOR,Fibroblast growth factor receptor 2 inhibitor
FNHKPVJBJVTLMP,FRK,INHIBITOR,Tyrosine-protein kinase FRK inhibitor
FNHKPVJBJVTLMP,DDR2,INHIBITOR,Discoidin domain-containing receptor 2 inhibitor
FNHKPVJBJVTLMP,BRAF,INHIBITOR,Serine/threonine-protein kinase B-raf inhibitor
FNHKPVJBJVTLMP,TEK,INHIBITOR,Tyrosine-protein kinase TIE-2 inhibitor
FNHKPVJBJVTLMP,PDGFRB,INHIBITOR,Platelet-derived growth factor receptor inhibitor
FNHKPVJBJVTLMP,PDGFRA,INHIBITOR,Platelet-derived growth factor receptor inhibitor
FNHKPVJBJVTLMP,FLT1,INHIBITOR,Vascular endothelial growth factor receptor inhibitor
FNHKPVJBJVTLMP,FLT4,INHIBITOR,Vascular endothelial growth factor receptor inhibitor
FNHKPVJBJVTLMP,KDR,INHIBITOR,Vascular endothelial growth factor receptor inhibitor
FNHKPVJBJVTLMP,RET,INHIBITOR,Tyrosine-protein kinase receptor RET inhibitor
FNHKPVJBJVTLMP,EPHA2,INHIBITOR,Ephrin type-A receptor 2 inhibitor
FNHKPVJBJVTLMP,NTRK1,INHIBITOR,Nerve growth factor receptor Trk-A inhibitor
HLFSMUUOKPBTSM,rpsB,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rplD,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpsA,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpsJ,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpsK,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpsL,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpsM,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpsN,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpsO,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpsP,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpsQ,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpsR,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpsS,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpsT,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpsU,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpsC,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpsD,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpsE,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpsF,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpsG,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpsH,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpsI,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rplJ,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rplK,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rplM,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rplN,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rplO,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rplP,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rplQ,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rplR,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rplS,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rplA,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rplT,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rplU,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rplV,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rplW,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rplX,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rplY,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpmA,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpmB,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpmC,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rplB,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpmD,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,ykgM,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpmE,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpmF,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpmG,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpmH,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpmI,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,ykgO,INHIBITOR,Bacterial 70S ribosome inhibitor
HLFSMUUOKPBTSM,rpmJ,INHIBITOR,Bacterial 70S ribosome inhibitor
