Drug_Clean,chembl_pref_name,chembl_smiles,chembl_id,match_type
bendamustine,BENDAMUSTINE,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,CHEMBL487253,exact
CB-839,TELAGLENASTAT,O=C(Cc1cccc(OC(F)(F)F)c1)Nc1ccc(CCCCc2nnc(NC(=O)Cc3ccccn3)s2)nn1,CHEMBL3639788,exact
Ezutromid,EZUTROMID,CCS(=O)(=O)c1ccc2oc(-c3ccc4ccccc4c3)nc2c1,CHEMBL1773683,exact
Fosbretabulin,FOSBRETABULIN,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1OP(=O)(O)O,CHEMBL1206232,exact
lumateperone,LUMATEPERONE,CN1CCN2c3c(cccc31)[C@@H]1CN(CCCC(=O)c3ccc(F)cc3)CC[C@@H]12,CHEMBL3306803,exact
ifosfamide,IFOSFAMIDE,O=P1(NCCCl)OCCCN1CCCl,CHEMBL1024,exact
methotrexate,METHOTREXATE,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,CHEMBL34259,exact
metoprolol,METOPROLOL,COCCc1ccc(OCC(O)CNC(C)C)cc1,CHEMBL13,exact
PF-06649751,TAVAPADON,Cc1cc(Oc2ncccc2C(F)(F)F)ccc1-c1c(C)c(=O)[nH]c(=O)n1C,CHEMBL3697617,exact
perhexiline,PERHEXILINE,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,CHEMBL75880,exact
