row_idx,NCT_ID,Drug,SMILES,tdc_dili,tdc_ames,tdc_carcinogen,tdc_skin_reaction
2097,NCT02173158,lomitapide,O=C(NC1CCN(CCCCC2(C(=O)NCC(F)(F)F)c3ccccc3-c3ccccc32)CC1)c1ccccc1-c1ccc(C(F)(F)F)cc1,0.4056425698893299,0.48566646125970475,0.22542073109937236,0.3986838040215812
2098,NCT02180217,osilodrostat,N#Cc1ccc([C@H]2CCc3cncn32)c(F)c1,0.5876987908085243,0.33357765255166216,0.07722434895910874,0.5103762391751484
2099,NCT01970371,plazomicin,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CNCCO)=CC[C@H]3N)[C@@H](N)C[C@H]2NC(=O)[C@@H](O)CCN)OC[C@]1(C)O,0.3613396832523394,0.43551418192028685,0.20113665072673872,0.41715755185058345
2100,NCT02830906,ramosetron,Cn1cc(C(=O)[C@@H]2CCc3[nH]cnc3C2)c2ccccc21,0.6178231164225357,0.40870081559525806,0.1696674909998363,0.3498032937107108
2101,NCT02219477,ribavirin,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,0.6908287759843893,0.1469940245196664,0.15087067490475192,0.3741136490221723
2102,NCT02265237,ribavirin,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,0.6908287759843892,0.1469940245196664,0.15087067490475192,0.3741136490221723
2103,NCT02254291,sitagliptin,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,0.4744718955622351,0.3385919432752331,0.2096276251741803,0.3916533325377943
2104,NCT01994720,ticagrelor,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,0.602106850767401,0.5111669047743921,0.27350915941446546,0.43200886369358005
2105,NCT02085161,tiotropium,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12,0.5116267210456632,0.42157482481388253,0.1178879213757385,0.38587479472295516
2106,NCT02312440,tranexamic acid,NC[C@H]1CC[C@H](C(=O)O)CC1,0.10452844339455603,0.14387957319496017,0.2346582417790994,0.5143751361479306
2107,NCT02179658,vancomycin,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,0.6093299284988885,0.39149112328834507,0.15259120837615806,0.3311040057576751
2108,NCT02096900,zolpidem,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,0.7922039559702011,0.48163094816083607,0.4761076760014895,0.4663677085390811
2109,NCT01715285,Abiraterone acetate,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,0.5747014000864057,0.2051954393183188,0.13796438007835307,0.5375884776755022
2110,NCT01606319,Acetaminophen,CC(=O)Nc1ccc(O)cc1,0.435729224720884,0.2734836408540712,0.43540149350660506,0.5243531429129998
2111,NCT01406080,Adapalene,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,0.6795608911317456,0.35883711341912794,0.15357162922187761,0.35195372350527704
2112,NCT01809743,Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0.8328989880000895,0.45888933838505785,0.17157868303725599,0.5078581965561827
2113,NCT01853826,Afatinib,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,0.7321579958541609,0.46032252541944263,0.22709258826290674,0.3946932825000918
2114,NCT01856478,Afatinib,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,0.7321579958541609,0.46032252541944263,0.22709258826290674,0.3946932825000918
2115,NCT01953913,Afatinib,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,0.7321579958541609,0.46032252541944263,0.22709258826290674,0.3946932825000918
2116,NCT01825031,Albendazole,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,0.8418842084889925,0.3092886253611676,0.27668875047935415,0.3329801934638845
2117,NCT01805726,Alfentanil,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,0.3797098732030698,0.3960365507085671,0.2487839770684469,0.4050381140779889
2118,NCT01890122,Alogliptin,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,0.4316961457336371,0.4620471453034235,0.09630570438582364,0.5280751127884667
2119,NCT01704651,Alvimopan,C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,0.27680099185264434,0.24494408413201996,0.18732790150456155,0.4215034208198746
2120,NCT01829529,Amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,0.6239881293235754,0.11495894183796797,0.4772255223127445,0.48890912159220506
2121,NCT02974348,Amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,0.6239881293235754,0.11495894183796797,0.4772255223127445,0.48890912159220506
2122,NCT01780987,Apixaban,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,0.5991394484428719,0.4271785822664031,0.1434891945929907,0.3435913185878403
2123,NCT02563704,Artesunate,C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,0.2130649826726521,0.28969712019062543,0.06603416703414138,0.37513087472698703
2124,NCT01973049,Asunaprevir,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,0.6282989177145839,0.3250045990733025,0.2009486033224788,0.302754774506874
