IK14,Disease,mendel_clinvar,mendel_ot_causal,mendel_max,depmap_dep_lin,depmap_selectivity,mi_raw,mi_within_disease_pct,mi_genetics,_depmap_has,_mi_route
UREBDLICKHMUKA,Breast Cancer,0.0,0.0,0.0,-0.011130118065106501,-0.003624896446953416,0.011130118065106501,0.3076923076923077,0.0,1,depmap
UREBDLICKHMUKA,Thrombocytopenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,genetics
UREBDLICKHMUKA,Renal Colic,0.0,0.0,0.0,0.04176713245830078,0.04927235407645386,0.0,1.0,0.0,1,genetics
UREBDLICKHMUKA,Prostate Cancer Metastatic,0.0,0.0,0.0,-0.14926338368421263,-0.14175816206605954,0.14926338368421263,1.0,0.2279740491043579,1,depmap
UREBDLICKHMUKA,pneumonia,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0,genetics
UREBDLICKHMUKA,AL Amyloidosis,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
UREBDLICKHMUKA,Influenza,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
GZSOSUNBTXMUFQ,Breast Cancer,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0,genetics
GZSOSUNBTXMUFQ,Rheumatoid Arthritis,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0,genetics
ZZVUWRFHKOJYTH,Systemic Lupus Erythematosus,0.0,0.0,0.0,0.0,0.0,0.3085746992510923,0.5,0.3085746992510923,0,genetics
ZZVUWRFHKOJYTH,Multiple Sclerosis,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,0,genetics
ZZVUWRFHKOJYTH,Lupus Nephritis,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
JWJOTENAMICLJG,androgenetic alopecia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
JGMOKGBVKVMRFX,Subfertility,0.0,0.0,0.0,0.0,0.0,0.8679214751404737,1.0,0.8679214751404737,0,genetics
SIFNOOUKXBRGGB,Breast Cancer,1.0,0.27820844960907676,1.0,-0.33033499306052333,-0.2774030028172715,0.33033499306052333,0.7307692307692307,0.8496114818642673,1,depmap
OBWASQILIWPZMG,Metabolic Syndrome,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
OBWASQILIWPZMG,Nephrotic Syndrome,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
OBWASQILIWPZMG,pneumonia,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0,genetics
OBWASQILIWPZMG,congenital heart disease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,genetics
WXCXUHSOUPDCQV,Cancer,0.0,0.9057632260187225,0.9057632260187225,0.0,0.0,0.9554137826803796,1.0,0.9554137826803796,0,genetics
WXCXUHSOUPDCQV,Prostate Cancer Metastatic,1.0,0.9033360103280944,1.0,-0.2645388102368098,-0.35993598887995626,0.2645388102368098,1.0,0.8728762805808241,1,depmap
WXCXUHSOUPDCQV,Neoplasms,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
UFNVPOGXISZXJD,Advanced Breast Cancer,0.0,0.0,0.0,-2.2446930475135694,-0.28929779395321265,2.2446930475135694,0.8571428571428571,0.0,1,depmap
UFNVPOGXISZXJD,Metastatic Breast Cancer,0.0,0.0,0.0,-2.2446930475135694,-0.28929779395321265,2.2446930475135694,0.9090909090909091,0.0,1,depmap
UFNVPOGXISZXJD,Triple Negative Breast Cancer,0.0,0.0,0.0,-2.2446930475135694,-0.28929779395321265,2.2446930475135694,0.5,0.0,1,depmap
YQEZLKZALYSWHR,depressive disorder,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
YQEZLKZALYSWHR,"Depressive Disorder, Major",0.0,0.0,0.0,0.0,0.0,0.4867374381481546,1.0,0.4867374381481546,0,genetics
VJJPUSNTGOMMGY,Acute Myeloid Leukemia,0.0,0.0,0.0,-2.314612267788222,0.22137704331007368,2.314612267788222,0.8,0.0,1,depmap
VJJPUSNTGOMMGY,Ovarian Cancer,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
VJJPUSNTGOMMGY,"Carcinoma, Non-Small-Cell Lung",0.0,0.0,0.0,-2.6820224501729757,-0.14603313907467985,2.6820224501729757,1.0,0.0,1,depmap
VJJPUSNTGOMMGY,Multiple Myeloma,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
