NCT_ID,Disease,y,p,p_adj,is_offmech
NCT04826692,Huntington Disease,0,0.6149947138131717,0.6149947138131717,0
NCT05280496,Diabetes,0,0.01468850747178573,0.01468850747178573,0
NCT05413369,Type 2 Diabetes Mellitus,0,0.004102558358548914,0.004102558358548914,0
NCT05722951,Epilepsy,0,0.15795827441839222,0.15795827441839222,0
NCT05355974,Anesthesia-induced hypotension,0,0.20158118725489677,0.20158118725489677,0
NCT05027802,fibrodysplasia ossificans progressiva,0,0.17539518836414966,0.17539518836414966,0
NCT05223166,excessive daytime sleepiness,0,0.29768235431954254,0.29768235431954254,0
NCT05458128,idiopathic hypersomnia,0,0.25242381008819603,0.25242381008819603,0
NCT05399485,migraine,0,0.020817494376502595,0.020817494376502595,0
NCT05369793,type 2 diabetes mellitus,0,0.0037624144913473738,0.0037624144913473738,0
NCT05301517,anemia,0,0.006817828189796582,0.006817828189796582,0
NCT05950061,Major Depressive Disorder,0,0.3078164961338233,0.3078164961338233,0
NCT05072704,total hip arthroplasty,0,0.008626749371360962,0.008626749371360962,0
NCT06146478,Transfusion-dependent Beta-Thalassemia,0,0.23436467256351587,0.23436467256351587,0
NCT07043049,Shivering,0,0.3322923884162237,0.3322923884162237,0
NCT05601882,atopic dermatitis,0,0.0783524718629078,0.0783524718629078,0
NCT06248931,migraine,0,0.00924682625690145,0.00924682625690145,0
NCT05320575,hemophagocytic lymphohistiocytosis,0,0.299610432952163,0.299610432952163,0
NCT06948513,Pain Management,0,0.024726414866709522,0.024726414866709522,0
NCT04956432,gout,0,0.009834788116469508,0.009834788116469508,0
NCT04829747,chronic migraine,0,0.09090591168893172,0.09090591168893172,0
NCT04476420,oral submucous fibrosis,0,0.33511101042419295,0.33511101042419295,0
NCT04825704,Pain,0,0.17982056308748545,0.17982056308748545,0
NCT04974385,pain,0,0.012584626516594245,0.012584626516594245,0
NCT04729179,fibromyalgia,1,0.8322019493986923,0.8322019493986923,0
NCT04345796,Tricuspid Regurgitation; Right Ventricular Dilatation,0,0.0031745521290508566,0.0031745521290508566,0
NCT06754410,Lower Ureteric Stones,0,0.15339673018040564,0.15339673018040564,0
NCT06120725,Ischemic Stroke,0,0.27185609590451304,0.27185609590451304,0
NCT04724629,COVID-19; cytokine release syndrome,1,0.6616394448767576,0.6616394448767576,0
NCT04765371,Coronavirus Infection,0,0.6049767914341175,0.6049767914341175,0
NCT04707352,Heart Failure,0,0.40589412888340287,0.40589412888340287,0
NCT04636671,Covid19; Viral Pneumonia Human Coronavirus; Severe Acute Respiratory Syndrome,0,0.06028796804635102,0.06028796804635102,0
NCT04655144,Post Uterine Artery Embolization Pain,0,0.4917426100262191,0.4917426100262191,0
NCT04976777,Macular Edema,0,0.04915583043097134,0.04915583043097134,0
NCT05564286,Chemoradiotherapy in Cervical Cancer,0,0.19174093062107408,0.19174093062107408,0
NCT05001555,low back pain,0,0.23905806584354847,0.23905806584354847,0
NCT04940390,migraine,0,0.007077024868180262,0.007077024868180262,0
NCT05083923,Multiple Sclerosis,0,0.06359090318337982,0.06359090318337982,0
NCT04504812,Improving Outcomes in People With Knee Osteoarthritis Pain,0,0.4165020612320669,0.4165020612320669,0
NCT04730037,CTEPH,0,0.3547819686161953,0.5,1
NCT04345796,Tricuspid Regurgitation; Right Ventricular Dilatation,0,0.001249235772570178,0.001249235772570178,0
NCT04934722,Prostate Cancer,0,0.6799090106564007,0.6799090106564007,0
NCT04774380,Lung Cancer,0,0.22364715089073467,0.22364715089073467,0
NCT04878016,SCLC,0,0.34522095224782856,0.34522095224782856,0
